bookie,start_idx,start_value,gamma,std_gamma,J_stat,p_value
BetInAsia,4,0.15601864044243652,0.021245350803996938,0.014044950904594738,4.372022660022184,0.9865521357666526
BetInAsia,5,0.15599452033620265,0.021165516278526215,0.014044765463301695,4.3720259127706695,0.9865520889158369
BetInAsia,6,0.05808361216819946,0.021241358481198454,0.014044941712636044,4.378506607315405,0.9864585149521733
BetInAsia,7,0.8661761457749352,0.021239924824619665,0.01404493840988385,4.378507275169128,0.9864585052854462
BetInAsia,8,0.6011150117432088,0.021200457665143068,0.01404484705058764,4.365601248381753,0.9866444012520972
BetInAsia,9,0.7080725777960455,0.021221433020081122,0.014044895709069602,4.378521963709861,0.9864582926776051
BetVictor,0,0.01,0.013880468749999996,0.01355487840451402,14.69741470595065,0.3266214390146263
BetVictor,1,0.9507143064099162,0.013915163833534246,0.013554782356661285,14.697250241877432,0.32663211685122434
BetVictor,2,0.7319939418114051,0.013879023316876935,0.013554882383047874,14.697414746421574,0.32662143638707714
BetVictor,3,0.5986584841970366,0.01386005470127075,0.013554934423769763,14.697417707865686,0.3266212441172241
BetVictor,4,0.15601864044243652,0.013867223202996246,0.013554914793827194,14.69741605795021,0.32662135123691577
BetVictor,5,0.15599452033620265,0.01386507936367124,0.013554920669167005,14.69741648381356,0.3266213235880119
BetVictor,6,0.05808361216819946,0.013912840227163976,0.013554788822169607,14.697249560891386,0.3266321610647299
BetVictor,7,0.8661761457749352,0.013887683821632746,0.013554858517904235,14.697414896362835,0.3266214266522355
BetVictor,8,0.6011150117432088,0.01387693669992903,0.013554888123072635,14.697414851118898,0.32662142958966944
BetVictor,9,0.7080725777960455,0.013896529381734326,0.013554834074832307,14.697082823204534,0.3266429867422012
Betfair,0,0.01,0.03290703125000003,0.02068295064539822,15.65561132819076,0.26822780287376957
Betfair,1,0.9507143064099162,0.03289564923642221,0.020683123867597665,15.655611607872453,0.26822778695674204
Betfair,2,0.7319939418114051,0.03293246730976358,0.02068256201796845,15.655613522055289,0.2682276780182712
Betfair,3,0.5986584841970366,0.03288529271101885,0.02068328111871736,15.656205121844158,0.26819401084117217
Betfair,4,0.15601864044243652,0.0329123721714086,0.02068286921777587,15.655611465468771,0.2682277950611099
Betfair,5,0.15599452033620265,0.032907283997899855,0.020682946793988286,15.655611330818134,0.26822780272424246
Betfair,6,0.05808361216819946,0.032892397892730775,0.020683173272621966,15.655611830631619,0.2682277742792459
Betfair,7,0.8661761457749352,0.03288762553489312,0.02068324572800739,15.65620505546181,0.26819401461873904
Betfair,8,0.6011150117432088,0.032918788303309486,0.020682771275180496,15.655611857482723,0.26822777275111653
Betfair,9,0.7080725777960455,0.032916039926306255,0.020682813245557697,15.65561165919808,0.26822778403573805
